  BK:CH CHAN  FREQUENCY  MODE  LABEL

KD7DVD monitors these:
  A0:00 0000: 1292.2000  NFM   23 cm   
  A5:24 0224:   27.2350  AM    CB 24   
  A5:25 0225:   27.2450  AM    CB 25   
  A5:26 0226:   27.2650  AM    CB 26   
  A5:27 0227:   27.2750  AM    CB 27   
  A5:28 0228:   27.2850  AM    CB 28   
  A5:29 0229:   27.2950  AM    CB 29   
  A5:30 0230:   27.3050  AM    CB 30   
  A5:31 0231:   27.3150  AM    CB 31   
  A5:32 0232:   27.3250  AM    CB 32   
  A5:33 0233:   27.3350  AM    CB 33   
  A5:34 0234:   27.3450  AM    CB 34   
  A5:35 0235:   27.3550  AM    CB 35   
  A5:36 0236:   27.3650  AM    CB 36   
  A5:37 0237:   27.3750  AM    CB 37   
  A5:38 0238:   27.3850  AM    CB 38   
  A5:39 0239:   27.3950  AM    CB 39   

Aviation band, Sea-Tac (SEA) and Boeing Field (BFI)
  A6:00 0240:  122.9500  AM    UNICOM  
  A6:01 0241:  118.8000  AM    SEA ATIS
  A6:02 0242:  121.7000  AM    Ground  
  A6:03 0243:  119.9000  AM    Tower   
  A6:04 0244:  239.3000  AM    Tower   
  A6:05 0245:  119.2000  AM    App/Dpt 
  A6:06 0246:  120.1000  AM    App/Dpt 
  A6:07 0247:  120.4000  AM    App/Dpt 
  A6:08 0248:  125.9000  AM    App/Dpt 
  A6:09 0249:  126.5000  AM    App/Dpt 
  A6:10 0250:  284.7000  AM    App/Dpt 
  A6:11 0251:  290.9000  AM    App/Dpt 
  A6:12 0252:  391.9000  AM    App/Dpt 
  A6:13 0253:  395.0000  AM    App/Dpt 
  A6:14 0254:  123.9000  AM    App/Dpt 
  A6:15 0255:  338.2000  AM    App/Dpt 
  A6:16 0256:  395.0000  AM    App/Dpt 
  A6:17 0257:  128.0000  AM    Clearnce
  A6:18 0258:  133.6500  AM    Extra   
  A6:19 0259:  121.5000  AM    Emergncy
  A6:20 0260:  243.0000  AM    Emergncy
  A6:21 0261:  126.2500  AM    Gate Ctl
  A6:22 0262:  127.7500  AM    BFI ATIS
  A6:23 0263:  121.9000  AM    BFI Gnd 
  A6:24 0264:  118.3000  AM    BFI Towr
  A6:25 0265:  120.6000  AM    BFI Towr
  A6:26 0266:  257.8000  AM    BFI Towr
  A6:27 0267:  132.4000  AM    BFI Clrn
  A6:28 0268:  123.5500  AM    BoeingCo
  A6:29 0269:  126.5500  AM    NonJet  
  
Marine Band (not the one lead by LtCol Sousa), Weather
  A7:00 0280:  156.0500  NFM   Mar 01/s
  A7:01 0281:  160.6500  NFM   Mar 01/c
  A7:02 0282:  156.1000  NFM   Mar 02/s
  A7:03 0283:  160.7000  NFM   Mar 02/c
  A7:04 0284:  156.1500  NFM   Mar 03/s
  A7:05 0285:  160.7500  NFM   Mar 03/c
  A7:06 0286:  156.2000  NFM   Mar 04/s
  A7:07 0287:  160.8000  NFM   Mar 04/c
  A7:08 0288:  156.2500  NFM   Mar 05/s
  A7:09 0289:  160.8500  NFM   Mar 05/c
  A7:10 0290:  156.3000  NFM   Mar 06  
  A7:11 0291:  156.3500  NFM   Mar 07/s
  A7:12 0292:  160.9500  NFM   Mar 07/c
  A7:13 0293:  156.4000  NFM   Mar 08  
  A7:14 0294:  156.4500  NFM   Mar 09  
  A7:15 0295:  156.5000  NFM   Mar 10  
  A7:16 0296:  156.5500  NFM   Mar 11  
  A7:17 0297:  156.6000  NFM   Mar 12  
  A7:18 0298:  156.6500  NFM   Mar 13  
  A7:19 0299:  156.7000  NFM   Mar 14  
  A7:20 0300:  156.7500  NFM   Mar 15  
  A7:21 0301:  156.8000  NFM   Mar 16 *
  A7:22 0302:  156.8500  NFM   Mar 17  
  A7:23 0303:  156.9000  NFM   Mar 18/s
  A7:24 0304:  161.5000  NFM   Mar 18/c
  A7:25 0305:  156.9500  NFM   Mar 19/s
  A7:26 0306:  161.5500  NFM   Mar 19/c
  A7:27 0307:  157.0000  NFM   Mar 20/s
  A7:28 0308:  161.6000  NFM   Mar 20/c
  A7:29 0309:  157.0500  NFM   Mar 21/s
  A7:30 0310:  161.6500  NFM   Mar 21/c
  A7:31 0311:  157.1000  NFM   Mar 22/s
  A7:32 0312:  161.7000  NFM   Mar 22/c
  A7:33 0313:  157.1500  NFM   Mar 23/s
  A7:34 0314:  161.7500  NFM   Mar 23/c
  A7:35 0315:  157.2000  NFM   Mar 24/s
  A7:36 0316:  161.8000  NFM   Mar 24/c
  A7:37 0317:  157.2500  NFM   Mar 25/s
  A7:38 0318:  161.8500  NFM   Mar 25/c
  A8:00 0320:  157.3000  NFM   Mar 26/s
  A8:01 0321:  161.9000  NFM   Mar 26/c
  A8:02 0322:  157.3500  NFM   Mar 27/s
  A8:03 0323:  161.9500  NFM   Mar 27/c
  A8:04 0324:  157.4000  NFM   Mar 28/s
  A8:05 0325:  162.0000  NFM   Mar 28/c
  A8:06 0326:  156.0250  NFM   Mar 60/s
  A8:07 0327:  160.6250  NFM   Mar 60/c
  A8:08 0328:  156.0750  NFM   Mar 61/s
  A8:09 0329:  160.6750  NFM   Mar 61/c
  A8:10 0330:  156.1250  NFM   Mar 62/s
  A8:11 0331:  160.7250  NFM   Mar 62/c
  A8:12 0332:  156.1750  NFM   Mar 63/s
  A8:13 0333:  160.7750  NFM   Mar 63/c
  A8:14 0334:  156.2250  NFM   Mar 64/s
  A8:15 0335:  160.8250  NFM   Mar 64/c
  A8:16 0336:  156.2750  NFM   Mar 65/s
  A8:17 0337:  160.8750  NFM   Mar 65/c
  A8:18 0338:  156.3250  NFM   Mar 66/s
  A8:19 0339:  160.9250  NFM   Mar 66/c
  A8:20 0340:  156.3750  NFM   Mar 67  
  A8:21 0341:  156.4250  NFM   Mar 68  
  A8:22 0342:  156.4750  NFM   Mar 69  
  A8:23 0343:  156.5750  NFM   Mar 71  
  A8:24 0344:  156.6250  NFM   Mar 72  
  A8:25 0345:  156.6750  NFM   Mar 73  
  A8:26 0346:  156.7250  NFM   Mar 74  
  A8:27 0347:  156.8750  NFM   Mar 77  
  A8:28 0348:  156.9250  NFM   Mar 78/s
  A8:29 0349:  161.5250  NFM   Mar 78/c
  A8:30 0350:  156.9750  NFM   Mar 79/s
  A8:31 0351:  161.5750  NFM   Mar 79/c
  A8:32 0352:  157.0250  NFM   Mar 80/s
  A8:33 0353:  161.6250  NFM   Mar 80/c
  A8:34 0354:  157.0750  NFM   Mar 81/s
  A8:35 0355:  161.6750  NFM   Mar 81/c
  A8:36 0356:  157.1250  NFM   Mar 82/s
  A8:37 0357:  161.7250  NFM   Mar 82/c
  A8:38 0358:  157.1750  NFM   Mar 83/s
  A8:39 0359:  161.7750  NFM   Mar 83/c
  A9:00 0360:  157.2250  NFM   Mar 84/s
  A9:01 0361:  161.8250  NFM   Mar 84/c
  A9:02 0362:  157.2750  NFM   Mar 85/s
  A9:03 0363:  161.8750  NFM   Mar 85/c
  A9:04 0364:  157.3250  NFM   Mar 86/s
  A9:05 0365:  161.9250  NFM   Mar 86/c
  A9:06 0366:  157.3750  NFM   Mar 87/s
  A9:07 0367:  161.9750  NFM   Mar 87/c
  A9:08 0368:  157.4250  NFM   Mar 88/s
  A9:09 0369:  162.0250  NFM   Mar 88/c
  A9:10 0370:  161.6500  NFM   WX      
  A9:11 0371:  161.7750  NFM   WX      
  A9:12 0372:  162.4000  NFM   WX A    
  A9:13 0373:  162.4250  NFM   WX B    
  A9:14 0374:  162.4500  NFM   WX C    
  A9:15 0375:  162.4750  NFM   WX D    
  A9:16 0376:  162.5000  NFM   WX E    
  A9:17 0377:  162.5250  NFM   WX F    
  A9:18 0378:  162.5500  NFM   WX G    
  A9:19 0379:  163.2750  NFM   WX      
 
Seattle Area Broadcast stations, AM, FM, TV
  B0:00 0400:    0.5700  AM    KVI     
  B0:01 0401:    0.7100  AM    KIRO    
  B0:02 0402:    0.7700  AM    KNWX    
  B0:03 0403:    0.8200  AM    KGNW    
  B0:04 0404:    0.8800  AM    KIXI    
  B0:05 0405:    0.9500  AM    KJR     
  B0:06 0406:    0.1000  AM    KOMO    
  B0:07 0407:    0.1050  AM    KBLE    
  B0:08 0408:    0.1090  AM    KRPM    
  B0:09 0409:    0.1150  AM    KSRB    
  B0:10 0410:    0.1250  AM    KKDZ    
